Settlement Date,Cycle,COU,Total Transactions,Total Amount (INR),Convenience Fee (INR),Net Settlement (INR),Status
2026-05-01,CYCLE-01,PAYU,4521,8245670.50,18250.00,8227420.50,SETTLED
2026-05-01,CYCLE-01,PHPE,3892,7102345.00,15780.00,7086565.00,SETTLED
2026-05-02,CYCLE-02,GPAY,5102,9520440.75,21345.50,9499095.25,SETTLED
2026-05-02,CYCLE-02,PAYTM,2887,5430120.00,12100.00,5418020.00,SETTLED
2026-05-03,CYCLE-03,PAYU,4322,7980210.30,17850.00,7962360.30,SETTLED
2026-05-03,CYCLE-03,PHPE,4015,7350890.40,16450.50,7334439.90,SETTLED
2026-05-04,CYCLE-04,GPAY,5340,9871230.00,22050.00,9849180.00,SETTLED
2026-05-04,CYCLE-04,PAYTM,3001,5641290.00,12600.00,5628690.00,SETTLED
2026-05-05,CYCLE-05,PAYU,4490,8120560.20,18120.00,8102440.20,SETTLED
2026-05-05,CYCLE-05,PHPE,4112,7589340.10,16980.00,7572360.10,SETTLED
2026-05-06,CYCLE-06,GPAY,5410,9990125.50,22340.00,9967785.50,SETTLED
2026-05-06,CYCLE-06,PAYTM,3045,5715420.00,12780.00,5702640.00,IN_PROCESS
